Date,Open,High,Low,Close
12/20/2010,1245.76001,1250.199951,1241.51001,1247.079956
12/21/2010,1249.430054,1255.819946,1249.430054,1254.599976
12/22/2010,1254.939941,1259.390015,1254.939941,1258.839966
12/23/2010,1257.530029,1258.589966,1254.050049,1256.77002
12/27/2010,1254.660034,1258.430054,1251.47998,1257.540039
12/28/2010,1259.099976,1259.900024,1256.219971,1258.51001
12/29/2010,1258.780029,1262.599976,1258.780029,1259.780029
12/30/2010,1259.439941,1261.089966,1256.319946,1257.880005
12/31/2010,1256.76001,1259.339966,1254.189941,1257.640015
1/3/2011,1257.619995,1276.170044,1257.619995,1271.869995
1/4/2011,1272.949951,1274.119995,1262.660034,1270.199951
1/5/2011,1268.780029,1277.630005,1265.359985,1276.560059
1/6/2011,1276.290039,1278.170044,1270.430054,1273.849976
1/7/2011,1274.410034,1276.829956,1261.699951,1271.5
1/10/2011,1270.839966,1271.52002,1262.180054,1269.75
1/11/2011,1272.579956,1277.25,1269.619995,1274.47998
1/12/2011,1275.650024,1286.869995,1275.650024,1285.959961
1/13/2011,1285.780029,1286.699951,1280.469971,1283.76001
1/14/2011,1282.900024,1293.23999,1281.23999,1293.23999
1/18/2011,1293.219971,1296.060059,1290.160034,1295.02002
1/19/2011,1294.52002,1294.599976,1278.920044,1281.920044
1/20/2011,1280.849976,1283.349976,1271.26001,1280.26001
1/21/2011,1283.630005,1291.209961,1282.069946,1283.349976
1/24/2011,1283.290039,1291.930054,1282.469971,1290.839966
1/25/2011,1288.170044,1291.26001,1281.069946,1291.180054
1/26/2011,1291.969971,1299.73999,1291.969971,1296.630005
1/27/2011,1297.51001,1301.290039,1294.410034,1299.540039
1/28/2011,1299.630005,1302.670044,1275.099976,1276.339966
1/31/2011,1276.5,1287.170044,1276.5,1286.119995
2/1/2011,1289.140015,1308.859985,1289.140015,1307.589966
2/2/2011,1305.910034,1307.609985,1302.619995,1304.030029
2/3/2011,1302.77002,1308.599976,1294.829956,1307.099976
2/4/2011,1307.01001,1311,1301.670044,1310.869995
2/7/2011,1311.849976,1322.849976,1311.849976,1319.050049
2/8/2011,1318.76001,1324.869995,1316.030029,1324.569946
2/9/2011,1322.47998,1324.540039,1314.890015,1320.880005
2/10/2011,1318.130005,1322.780029,1311.73999,1321.869995
2/11/2011,1318.660034,1330.790039,1316.079956,1329.150024
2/14/2011,1328.72998,1332.959961,1326.900024,1332.319946
2/15/2011,1330.430054,1330.430054,1324.609985,1328.01001
2/16/2011,1329.51001,1337.609985,1329.51001,1336.319946
2/17/2011,1334.369995,1341.5,1331,1340.430054
